"user","session","task","iteration","UD_qu","UD_u!","UD_!f","UD_fa","UD_aB","UD_B8","UD_8*","UD_*e","UD_en","standard_deviation","kurtosis","skewness"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","3","113","311","120","-74","328","160","193","182","-107","140.38184258797526","2.2183654348752206","-0.44222512166677547"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","4","97","215","112","103","248","255","160","139","95","61.42163530833918","1.6168093503714127","0.5066645207728449"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","5","79","305","215","-86","184","295","159","126","1121","321.9096184787522","5.696429261989993","1.8954562557696975"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","6","-82","154","102","-75","481","126","150","1","109","157.90433109252507","3.935834084706728","1.081109828627362"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","7","-89","224","135","71","198","136","1455","0","80","437.138450255017","6.565865406039851","2.266880146528104"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","8","-85","212","757","960","649","183","2635","2","89","796.5381734282388","4.86598008685581","1.6873061560499734"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","9","-56","256","141","-88","629","129","599","2","-64","259.320479544349","2.1652626490414177","0.8047066320131127"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","10","-56","256","141","-88","629","129","599","2","-64","259.320479544349","2.1652626490414177","0.8047066320131127"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","0","-75","584","147","-130","200","252","137","206","69","194.35998165552448","3.3885822446869014","0.6764356784820439"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","1","101","424","165","119","279","169","144","144","76","101.68190535460678","3.9578113640549035","1.4292386697730044"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","2","-88","319","80","-113","425","114","118","144","89","161.02066426700534","2.4783089301592316","0.3700036336359403"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","3","127","376","118","-111","346","120","167","119","-57","149.75123404755445","2.294655214728177","0.07011866501319255"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","4","127","348","122","140","267","151","1286","99","-83","374.98622196911003","6.021509340841408","2.0625996731801193"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","5","104","414","143","-97","529","128","140","216","94","174.20868711596063","2.7905704000841527","0.5913643950857947"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","6","122","342","126","-97","776","136","104","143","-84","245.61613129152835","4.330187251264502","1.3857024151044008"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","7","101","327","142","-97","192","140","114","135","81","104.25017393478103","3.8851358397794735","-0.27605966072367505"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","8","-100","282","142","-125","232","255","128","160","-94","152.36562588266844","1.5365030261819137","-0.4063006831973898"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","9","-99","310","116","-103","407","111","1146","182","88","356.6323278727695","4.830541948953973","1.6225396724381584"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","10","-99","310","116","-103","407","111","1146","182","88","356.6323278727695","4.830541948953973","1.6225396724381584"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","0","95","548","1","120","295","615","127","125","92","204.59107060876215","2.39122620796328","0.9776621375627231"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","1","88","366","146","123","223","168","336","182","-73","123.55545563545121","2.7769151214185714","-0.24104609365767032"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","2","113","495","120","-96","767","118","240","111","88","244.08195345006558","3.3678387698011285","1.1486424441935836"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","3","113","424","146","-97","177","238","86","119","71","131.92964829319234","3.5626135609877823","0.44437124277215917"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","4","119","352","160","-104","353","103","1252","150","96","368.93088783673284","5.592467026328965","1.8996507510059428"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","5","128","348","127","133","458","136","328","111","81","127.25923770102865","2.1791214053122947","0.8823523691548445"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","6","-132","329","115","90","390","135","168","143","95","140.4678250580652","3.0455241841377063","-0.09153206848092414"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","7","125","293","150","98","558","168","275","103","77","143.86859573759025","4.18486722347473","1.4841158268589962"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","8","-68","260","151","103","603","147","239","1","1074","333.5730619434384","3.882999812964491","1.3878613013393144"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","9","100","307","153","103","195","151","263","1","103","87.23970100876531","2.4297658654842684","0.1957095343902954"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","10","100","307","153","103","195","151","263","1","103","87.23970100876531","2.4297658654842684","0.1957095343902954"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","1","0","129","162","179","54","177","171","610","963","-58","299.65898313389425","3.6482970806007993","1.3698709187649987"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","1","1","131","147","279","-107","153","462","1123","177","-66","345.52057700779915","4.652281785031509","1.5520800640276087"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","1","2","114","177","220","-103","45","192","507","233","-39","167.9220130570611","3.054030667822042","0.532588201609088"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","1","3","-89","108","16","-74","517","145","1080","103","-63","358.55388561398814","4.3364821827437545","1.601310408405173"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","1","4","171","179","15","-102","319","5306","265","134","-61","1636.805885306147","7.036066769104395","2.443200359097216"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","1","5","-101","169","187","-105","512","927","175","146","86","302.3790034516204","3.6826695492091437","1.219426494031986"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","0","132","196","14","-74","332","12","1996","959","-115","646.7670216135897","4.456416206808369","1.658668578129419"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","1","99","167","148","-91","170","103","252","116","-60","103.8921568113473","2.4622942202726144","-0.6859783671024908"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","2","-134","138","137","-76","304","26","192","526","61","188.19499999918","2.856786505339855","0.6432318200615601"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","3","-100","949","0","-105","405","10","404","88","56","322.50512485161465","3.6364822238891517","1.2974835592875478"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","4","147","269","166","-89","233","16","1092","137","-109","336.96008482523877","5.453544170191603","1.8257533611062902"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","5","-85","181","128","-66","620","115","179","193","-113","208.95347701236167","3.8162730916527","1.0801109380702043"
