"user","session","task","iteration","DD_qu","DD_u!","DD_!f","DD_fa","DD_aB","DD_B8","DD_8*","DD_*e","DD_en","mean","standard_deviation","kurtosis","skewness"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","0","2027","1083","631","1148","820","294","1455","620","631","967.6666666666666","497.62725898898356","2.8332748107578225","0.7976284725558355"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","1","1099","791","344","1223","645","601","1709","760","580","861.3333333333334","391.9180753394487","2.9265107629324447","0.8858347508430026"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","2","868","673","3116","1031","1077","464","3662","303","683","1319.6666666666667","1137.6806816208725","2.819461314702317","1.2308002697221117"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","3","1884","774","2520","1556","556","877","1317","643","540","1185.2222222222222","649.3676886492956","2.4282540750441273","0.8101618272227556"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","4","1705","630","288","1115","438","680","1516","616","519","834.1111111111111","467.82462156582767","2.1472060466915037","0.7823112510273043"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","5","1379","929","780","1083","331","320","1683","285","283","785.8888888888889","493.6421205791464","1.8646199954486622","0.472654763604336"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","6","985","909","1340","503","471","313","739","435","245","660","339.9176370828675","2.3092056757723873","0.649046573504489"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","7","1360","519","772","1031","1293","483","830","292","292","763.5555555555555","379.37349263434345","1.710742102077785","0.27185403105158323"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","8","3955","496","828","953","1393","420","1056","480","322","1100.3333333333333","1062.0369317704751","5.876409737464161","2.0423574769050297"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","9","1113","1260","427","838","472","576","1331","604","361","775.7777777777778","352.0920895251309","1.5785060682120375","0.42873826336733184"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","10","1113","1260","427","838","472","576","1331","604","361","775.7777777777778","352.0920895251309","1.5785060682120375","0.42873826336733184"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","0","886","347","1486","977","1348","239","981","447","352","784.7777777777778","432.76161715654797","1.6438451343362566","0.2372932588250239"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","1","534","369","992","780","1161","351","616","393","635","647.8888888888889","267.53875916270704","2.208943409254663","0.651097300508653"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","2","467","581","335","1664","2209","300","1099","792","748","910.5555555555555","609.0993553529325","2.7979666757583046","1.020873709736479"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","3","1694","866","331","823","820","555","652","260","600","733.4444444444445","394.1438291089832","4.279879030500283","1.28852465086902"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","4","1438","750","835","1287","994","595","1402","531","595","936.3333333333334","339.46166532058106","1.5140420516910675","0.3320566466968708"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","5","1117","694","732","653","732","1645","423","256","990","804.6666666666666","384.50198670199063","3.161608542945901","0.7894072391024435"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","6","696","659","392","600","701","320","779","236","603","554","179.52529998118186","1.8699384995437434","-0.5841479295468736"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","7","1046","464","439","902","686","259","1177","307","347","625.2222222222222","322.3654853932714","1.7083262888922048","0.4988184752983348"
