"user","session","task","iteration","trigraph_Pac","trigraph_ack","trigraph_ckm","trigraph_kmy","trigraph_myb","trigraph_ybo","trigraph_box","trigraph_oxw","trigraph_xwi","trigraph_wit","trigraph_ith","trigraph_thf","trigraph_hfo","trigraph_fou","trigraph_our","trigraph_urd","trigraph_rdo","trigraph_doz","trigraph_oze","trigraph_zen","trigraph_enl","trigraph_nli","trigraph_liq","trigraph_iqu","trigraph_quo","trigraph_uor","trigraph_orj","trigraph_rju","trigraph_jug","trigraph_ugs","trigraph_gs!","standard_deviation","kurtosis","skewness"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","1","653","444","421","627","539","611","376","468","379","328","363","615","430","405","329","639","2036","16857","15469","456","489","535","476","487","426","477","456","456","438","428","666","3854.780391784541","13.541739108391303","3.5255258683340016"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","2","668","477","425","547","591","738","377","451","455","293","368","455","385","341","268","493","431","348","491","456","489","535","476","487","426","477","456","456","438","428","666","100.73535040918036","3.8453958230895817","0.691348358304494"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","3","751","481","433","545","569","670","409","463","1413","1577","362","530","442","354","352","616","2086","17720","16295","495","538","550","478","557","477","884","863","895","438","450","668","4035.9275416870632","13.456380178593735","3.5066631359275093"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","4","701","459","434","538","607","661","427","508","438","458","387","427","434","299","266","583","2897","2757","810","495","538","550","478","557","477","884","863","895","438","450","668","582.4790966402937","11.799566639543366","3.1436500369744924"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","5","550","385","410","671","627","721","426","502","1529","1596","429","528","443","398","268","446","387","335","469","453","577","792","1144","1341","1094","688","733","763","716","677","808","333.98451552085504","4.190999834017034","1.3913238887405868"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","6","663","434","403","637","598","694","417","510","374","339","372","571","458","504","231","451","466","348","391","478","614","579","551","630","438","460","631","582","526","602","827","123.56087699017293","2.9941378643871026","0.18796051536952746"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","7","588","409","434","612","566","694","382","2448","2386","423","434","607","540","528","300","533","463","368","454","499","690","636","528","510","443","380","464","488","494","444","896","482.20118771301446","12.120522640996688","3.2236705495388707"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","8","1232","1128","1030","554","647","708","477","515","392","339","364","474","399","385","261","438","382","315","395","401","879","831","397","460","409","442","430","454","477","430","624","237.6340631535464","4.544761745341028","1.578374253436024"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","0","1339","1370","2561","1904","544","457","642","608","578","418","349","377","417","493","322","1017","968","601","585","248","400","409","371","369","1161","1089","1327","719","681","471","504","508.3600942558747","6.362783988940327","1.8462240005560686"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","1","640","1168","1088","505","500","471","470","509","444","358","366","459","537","594","401","986","993","474","448","465","550","557","429","404","765","744","1208","895","945","498","517","246.12818247010108","2.826109751811927","1.0860293070662805"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","2","732","407","408","496","737","697","842","465","449","362","281","472","535","489","313","480","487","1114","928","1065","624","640","569","425","361","338","657","808","754","517","405","210.6718107926238","3.1164435660968204","0.9006375524319032"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","3","640","391","385","448","417","360","482","385","385","321","218","282","361","361","257","433","367","434","384","282","448","394","337","393","522","440","507","552","386","329","412","85.40205457785325","3.8533539537523143","0.49834835575013053"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","4","627","472","408","513","626","585","690","473","458","378","244","488","479","425","358","976","943","1211","711","199","384","424","305","408","322","343","448","657","488","317","501","215.25222240613553","5.188715684342819","1.4643647286067543"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","5","602","400","441","472","473","514","574","496","513","419","265","335","385","346","275","457","407","454","389","330","450","408","330","385","384","384","488","544","432","352","462","79.51311255156521","2.6838982029787695","0.1225517920472432"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","6","640","402","490","480","881","896","986","504","450","355","241","330","361","338","257","465","424","490","407","402","441","450","393","521","304","305","591","577","530","330","395","174.3775551433531","4.859663052813139","1.4794234039375298"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","7","906","398","441","456","417","384","499","489","482","426","257","345","368","347","250","369","385","466","304","458","1081","1025","905","385","377","338","505","528","489","379","422","205.26591469021548","5.311862274749971","1.8198635860928707"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","8","647","423","496","464","529","481","448","1432","1546","1521","1377","441","480","490","337","1050","1048","313","280","280","504","442","305","336","385","322","1010","1072","922","446","392","391.3167770223868","2.8595908953104328","1.1257287366767428"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","9","833","415","570","488","465","496","602","761","779","425","214","321","305","393","287","449","476","489","328","329","432","506","368","385","292","369","712","786","842","481","573","170.2777005875336","2.5043769932936035","0.690333898042407"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","10","833","415","570","488","465","496","602","761","779","425","214","321","305","393","287","449","476","489","328","329","432","506","368","385","292","369","712","786","842","481","573","170.2777005875336","2.5043769932936035","0.690333898042407"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","0","606","544","787","629","544","730","797","746","434","482","328","595","552","485","405","589","542","639","594","649","1000","1049","931","532","953","877","925","1050","924","466","492","200.67398921626804","2.026607395560709","0.4312585891935834"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","1","730","530","558","586","456","420","555","593","573","422","276","441","497","514","255","570","519","519","395","360","545","537","399","420","470","570","1191","1151","984","392","433","209.75029006688538","6.094402062794709","1.8105240267705107"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","2","697","441","473","538","630","466","561","512","504","397","289","361","407","425","306","491","425","593","519","524","495","521","494","450","365","313","676","680","621","324","370","110.31587415948478","2.324403885476455","0.1968241738986742"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","3","601","440","455","456","472","432","610","603","545","427","408","426","463","416","292","482","409","429","387","307","520","521","425","401","354","347","560","587","482","354","425","82.85498784893042","2.4978770359796667","0.25713709760611936"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","4","622","433","592","544","479","501","535","539","570","491","271","547","594","514","2132","2408","712","574","1408","1469","644","604","489","407","426","349","476","561","377","333","400","487.5584225512101","8.112962876797857","2.4628781516122644"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","5","697","382","530","460","434","490","543","537","537","465","297","473","523","498","312","425","426","373","329","281","525","617","497","410","312","329","511","534","467","360","393","97.11344835931453","2.723640479322678","0.16973482766375944"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","6","894","471","522","544","451","393","523","625","514","465","392","465","545","490","331","511","456","444","400","315","537","535","469","431","324","294","505","504","417","336","387","110.4728179072027","7.909855706920949","1.5636594906789214"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","7","907","456","545","481","432","461","531","560","511","454","382","432","447","427","294","520","427","397","363","277","1674","1640","1532","385","376","392","656","656","563","367","409","359.407495997204","6.900333824611594","2.2743516780643005"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","8","818","479","506","464","465","505","625","959","922","680","318","524","607","583","372","809","703","647","440","274","438","530","333","366","450","376","553","648","466","384","410","169.9397824425102","3.058338814396869","0.8205818793823554"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","9","650","491","577","548","489","452","630","636","610","493","280","336","412","386","315","384","369","385","255","320","495","506","429","362","321","337","632","631","530","322","354","119.10249697920084","1.7843646497396013","0.26178294880370545"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","10","650","491","577","548","489","452","630","636","610","493","280","336","412","386","315","384","369","385","255","320","495","506","429","362","321","337","632","631","530","322","354","119.10249697920084","1.7843646497396013","0.26178294880370545"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","0","569","357","562","528","456","485","516","634","571","490","359","364","394","362","256","369","362","985","868","346","665","628","503","348","356","402","431","411","405","426","452","153.18669789531586","5.579887448579242","1.562709067713227"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","1","616","385","498","427","412","454","497","448","426","370","270","336","385","381","277","445","403","398","364","322","533","569","440","336","352","401","520","538","463","513","437","81.12411323508553","2.6771074921036813","0.22611530271291025"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","2","778","439","438","456","401","351","458","459","498","386","247","334","380","348","250","540","474","530","428","329","428","421","327","353","308","308","1042","1089","352","320","408","190.0668757928989","7.6868335808772805","2.2476462695250006"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","3","574","372","505","477","389","433","475","410","410","273","280","329","273","379","289","435","374","371","320","267","405","416","314","349","255","331","683","777","666","311","375","124.88490434807186","4.416865777562518","1.3518792151749148"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","4","605","390","513","466","480","485","538","411","411","2058","1940","430","504","439","260","383","343","349","359","249","377","417","293","365","273","362","870","1029","831","345","426","416.19301833640435","9.562102565767969","2.701764412173701"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","5","841","414","572","514","1417","1456","434","504","472","273","232","296","260","305","257","1157","999","384","348","371","826","822","731","320","242","272","545","593","1009","768","368","336.6757982572463","3.4104022680779438","1.1306620549678101"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","6","718","483","570","374","443","428","465","542","484","419","328","402","430","393","276","365","374","377","273","354","535","683","468","479","231","279","586","597","465","328","435","114.35863772751414","2.9617368168444496","0.47821488026589054"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","7","586","349","493","448","422","425","944","960","365","341","339","754","798","722","296","557","506","449","344","266","383","381","285","336","266","319","447","560","737","1249","1011","247.73522336337467","3.6709231388690804","1.219595585378045"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","8","852","449","513","439","581","655","971","825","757","421","245","327","408","419","286","449","401","378","375","263","463","494","761","804","624","290","544","564","489","384","415","184.91342294552834","2.7542499902353352","0.7798768114555975"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","9","694","447","456","493","589","516","650","403","404","360","310","497","539","355","296","791","633","689","339","332","448","420","385","457","338","486","1553","1630","1401","348","387","337.89105990878943","6.718675436786553","2.172633040753001"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","10","694","447","456","493","589","516","650","403","404","360","310","497","539","355","296","791","633","689","339","332","448","420","385","457","338","486","1553","1630","1401","348","387","337.89105990878943","6.718675436786553","2.172633040753001"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","0","417","286","285","447","436","316","272","598","450","386","468","515","515","297","257","334","311","348","298","979","1457","1319","647","401","334","390","634","813","519","253","510","284.5586245785925","6.768767571176517","2.053338851377918"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","1","447","306","284","441","447","346","302","433","342","261","270","375","484","273","258","365","353","292","339","530","750","614","348","325","244","284","424","533","261","224","388","116.49575608692493","4.720167407872547","1.3161015120435295"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","2","419","329","334","500","397","422","278","449","454","255","252","305","395","285","211","318","360","274","377","342","583","544","456","413","268","303","401","481","304","194","371","93.66873237958511","2.5486544034151026","0.34038619875377474"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","3","418","317","410","453","394","340","314","480","1994","10513","10456","10551","10666","10471","10385","10319","10282","10295","10329","10248","10566","10527","10524","10437","10338","10426","10502","10625","10371","10177","9348","4466.889289780888","1.8843239508913796","-0.9278074621032112"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","4","481","306","268","484","489","470","328","408","391","219","273","366","477","253","265","363","338","351","370","285","582","451","360","356","242","315","441","539","351","208","335","94.52109422166886","2.356294618258028","0.34945576836111497"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","5","463","10769","10854","10957","10937","10842","10566","10921","10843","10622","10524","10592","10649","10440","10328","10430","10401","10344","10365","10214","10481","15914","17236","17492","17403","17429","17505","17581","17417","17340","17442","3801.0264312842583","4.098424285639931","-0.3954667354964141"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","6","469","315","367","442","469","361","350","635","503","421","294","348","436","300","236","308","296","325","339","224","478","5912","7258","7504","7460","7169","7204","7400","7325","7186","7335","3188.5596959196623","1.6218786520662902","0.7743409484046521"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","7","406","270","344","419","437","395","295","407","354","337","289","337","436","268","213","354","309","288","358","289","567","10633","12635","12690","12554","12481","12521","12661","12442","12372","12511","5619.096571784338","1.603565268735934","0.7687759809801369"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","8","442","266","352","442","527","413","274","1081","914","341","296","373","450","301","231","335","309","334","335","290","450","360","397","372","241","313","448","459","343","256","390","174.17739471097804","10.228874348746837","2.6724893080808156"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","9","488","238","496","675","619","558","379","431","392","262","399","438","445","300","214","337","338","274","331","277","370","555","587","579","469","304","285","419","320","208","385","122.72059922223791","2.315007865524953","0.4460675894260815"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","10","488","238","496","675","619","558","379","431","392","262","399","438","445","300","214","337","338","274","331","277","370","555","587","579","469","304","285","419","320","208","385","122.72059922223791","2.315007865524953","0.4460675894260815"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","0","510","343","281","432","420","330","288","408","317","352","242","347","436","297","220","587","636","388","326","770","822","933","709","1396","13935","14966","3825","2234","421","239","391","3463.966461171457","12.576849751167906","3.3350108031226187"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","1","642","10234","10827","10895","10918","10800","10670","10921","10787","10233","10007","9973","10053","9933","9838","9904","9886","10067","10123","10251","10580","10486","10518","10442","10411","10467","10349","10411","10215","10006","10174","1745.607148936528","27.03171631228145","-4.9961417761003695"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","2","990","811","331","513","465","362","272","482","374","345","245","329","410","302","240","335","303","514","567","723","856","691","407","452","393","464","451","603","315","241","408","185.11735457157874","3.83869354842508","1.2063287653641588"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","3","599","406","373","527","483","453","268","509","439","151","317","403","374","266","243","469","585","575","414","345","540","1322","1294","298","589","634","1114","1246","1021","254","389","312.6987725791846","3.843827279782248","1.381838831393806"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","4","510","359","263","432","462","358","193","477","367","341","258","320","411","260","176","389","357","303","406","317","444","510","650","498","316","318","448","451","375","209","391","102.71018398318914","3.172540429149725","0.24724530630361558"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","5","449","358","285","434","492","393","318","601","450","331","266","452","542","343","270","424","403","436","356","240","417","418","379","329","336","391","425","511","273","210","371","88.01667139405036","2.8593115067595205","0.20397686898798081"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","6","505","331","298","467","448","347","255","468","361","377","244","435","528","360","197","343","362","333","406","271","415","332","378","334","301","390","343","465","347","209","419","80.2326741291778","2.6177368022396346","-0.05010500711551565"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","7","461","356","300","436","423","394","259","433","425","392","281","391","439","352","266","302","328","395","346","239","461","431","434","394","258","341","316","420","304","208","388","70.36392688043625","2.0285672615262946","-0.4180687730443216"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","8","490","409","493","561","493","451","273","495","376","363","244","604","694","282","282","390","389","1259","1226","283","402","433","425","362","316","332","287","486","306","228","417","232.87750729236504","8.68890594558934","2.4190334254768624"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","9","501","333","435","484","535","421","243","465","299","150","255","379","367","346","250","409","468","364","317","290","332","372","287","284","212","299","331","420","257","220","347","91.20129022217496","2.4369671977841016","0.15184850656907573"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","10","501","333","435","484","535","421","243","465","299","150","255","379","367","346","250","409","468","364","317","290","332","372","287","284","212","299","331","420","257","220","347","91.20129022217496","2.4369671977841016","0.15184850656907573"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","0","525","327","357","493","401","297","227","378","276","300","256","291","423","269","220","332","359","300","300","231","481","345","369","334","243","441","406","436","213","291","473","85.18555372829267","2.215117176691779","0.408933348309165"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","1","478","390","294","449","302","421","304","421","446","303","256","288","407","302","272","362","343","289","391","303","465","404","377","359","288","270","390","538","287","241","424","74.69436859142455","2.2520966393356368","0.4211234347710696"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","2","736","1082","1019","464","435","405","303","438","434","333","289","410","432","313","268","317","344","286","344","469","706","572","480","364","360","360","510","1007","779","193","382","224.52471247960182","4.147691594456663","1.4439711020520394"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","3","488","330","463","512","515","373","230","464","299","271","227","361","409","304","242","319","328","335","295","287","478","433","214","419","364","317","416","434","332","225","353","87.56213788890344","1.9992803354590207","0.16996119955981592"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","4","599","367","299","496","480","404","255","426","394","326","255","361","407","235","229","304","357","334","284","229","541","412","285","317","226","333","314","383","301","208","436","94.79594164049877","3.04764656186598","0.6954068735753354"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","5","537","379","315","495","470","395","233","390","362","327","277","332","405","315","225","395","450","287","346","326","437","9991","11237","11220","11300","11389","10997","10536","10369","10273","17504","5326.540303869004","2.314452792426384","0.9541568597643394"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","6","477","348","389","480","551","483","329","493","423","241","271","305","408","303","209","301","391","351","270","251","346","359","365","318","409","458","408","468","343","209","7455","1255.6304401730958","28.75992630410299","5.2545191520676005"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","7","466","268","286","482","484","458","286","450","412","164","229","420","410","345","244","333","385","318","288","256","422","421","331","387","301","391","357","454","320","194","358","85.29265284015948","2.2090627297387093","-0.29698004297866537"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","8","552","355","344","582","468","407","229","528","454","332","278","421","542","287","248","420","401","315","314","277","453","346","320","292","349","357","347","440","316","212","357","94.00499245050311","2.5679691462278726","0.5245317719749554"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","9","453","677","588","604","390","408","238","617","585","375","248","423","433","327","227","383","374","438","408","302","393","331","287","312","226","304","297","469","306","214","371","121.33705345484131","2.78753765587274","0.7150276133291661"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","10","453","677","588","604","390","408","238","617","585","375","248","423","433","327","227","383","374","438","408","302","393","331","287","312","226","304","297","469","306","214","371","121.33705345484131","2.78753765587274","0.7150276133291661"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","0","367","227","306","485","466","364","205","372","403","192","247","308","293","228","224","359","259","267","423","349","342","582","442","558","256","372","653","567","839","669","405","152.22828440313089","3.7214159558659152","1.0471621703041345"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","1","459","262","293","451","386","411","8413","8706","8782","8688","8645","8741","8705","8710","8657","8857","9440","9328","9416","9348","9493","9504","9455","9650","9475","9945","10124","10138","9981","9936","10062","3554.2929514905786","3.3088724058542516","-1.4804881334223436"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","2","365","249","302","452","456","394","215","552","561","281","310","339","309","279","271","407","940","722","316","391","473","471","330","568","354","861","1126","1103","319","346","561","237.3356400445997","4.404091609440614","1.51942265999513"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","3","449","237","281","412","470","394","229","347","375","293","302","351","377","338","222","328","452","586","553","487","661","564","450","651","470","322","650","753","514","337","445","135.04252230458752","2.5533488727943023","0.5302917076285434"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","4","477","264","306","458","442","365","207","341","352","259","233","287","335","254","180","289","315","231","369","277","342","391","240","369","273","1574","1691","370","470","439","421","329.9296869562781","12.21611495412289","3.2195431809988184"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","5","475","265","288","419","662","778","9873","9940","9976","9866","9812","9921","9928","9851","9654","9910","9826","9551","9776","9681","9794","9888","9772","9807","9688","9685","9792","9913","9783","9711","9840","3687.485658660978","3.41226183651084","-1.5508851559381946"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","6","397","259","319","470","722","773","240","325","338","283","231","262","359","271","271","450","512","294","501","487","491","531","323","401","290","239","448","548","478","378","493","134.20611758753338","3.5399221413126973","0.9163861610219282"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","7","381","220","308","452","423","364","217","384","399","299","261","313","333","258","1386","13067","13116","13002","13108","13065","13302","13305","13247","13359","13340","13343","13851","13964","12936","12872","12983","6423.624654538381","1.0116669048637135","-0.06374168304801126"
